kecamatan,kelurahan_desa,lat,long,luas
Kademangan,BENDOSARI,-8.219,112.1043,622.89
Kademangan,PAKISAJI,-8.2167,112.0566,636.62
Sutojayan,KAULON,-8.1579,112.2771,237.95
Kanigoro,GOGODESO,-8.1425,112.1877,163.55
Kanigoro,JATINOM,-8.1292,112.1743,225.29
Sanankulon,BENDOWULUNG,-8.1245,112.146,160.39
Kesamben,PAGERWOJO,-8.1241,112.3755,808.45
Kanigoro,KANIGORO,-8.1187,112.2026,292.00
Selorejo,BANJARSARI,-8.1145,112.4083,566.38
Sanankulon,SUMBERINGIN,-8.0932,112.1323,531.00
Srengat,PAKISREJO,-8.0901,112.0521,355.01
Doko,SURU,-8.0873,112.3487,501.91
Doko,JAMBEPAWON,-8.0853,112.3844,345.75
Ponggok,BENDO,-8.0801,112.1162,325.39
Talun,KENDALREJO,-8.0774,112.2533,760.24
Talun,KAMULAN,-8.0761,112.2771,433.25
Kesamben,KEMIRIGEDE,-8.0699,112.4068,345.74
Srengat,TOGOGAN,-8.063,112.0566,"1,013.28"
Ponggok,LANGON,-8.0483,112.067,234.02
Doko,KALIMANIS,-8.04,112.4396,447.10
Wlingi,TEGALASRI,-8.0359,112.3546,925.00
Wonodadi,TAWANGREJO,-8.0356,111.997,393.73
Udanawu,BAKUNG,-8.0033,112.0268,431.76
Gandusari,GADUNGAN,7.9961,112.2921,154.03
Gandusari,KRISIK,-7.9653,112.3688,600.00
Gandusari,TULUNGREJO,-7.9802,112.3408,171.75
Nglegok,SUMBERASRI,-7.9826,112.2032,"19,597.00"
Nglegok,MODANGAN,-7.9843,112.2435,"1,074.18"
Wlingi,BALEREJO,-7.9846,112.4055,536.10
Gandusari,SEMEN,-7.9853,112.3672,946.60
Ponggok,SIDOREJO,-7.9893,112.1352,"1,384.20"
Doko,SUMBERURIP,-7.9922,112.4497,"1,690.00"
Ponggok,GEMBONGAN,-7.9931,112.0904,791.66
Udanawu,BENDOREJO,-7.994,112.06,165.65
Garum,KARANGREJO,-7.9941,112.2539,"1,609.00"
Nglegok,PENATARAN,-7.9986,112.2193,"53,536.00"
Ponggok,CANDIREJO,-8.0033,112.1526,"1,193.00"
Udanawu,SLEMANAN,-8.0038,112.0574,377.85
Ponggok,BACEM,-8.0061,112.1126,529.79
Udanawu,BESUKI,-8.0063,112.0048,"2,190.00"
Nglegok,KEDAWUNG,-8.0067,112.1866,833.00
Ponggok,RINGINANYAR,-8.0069,112.0912,224.00
Udanawu,TEMENGGUNGAN,-8.008,111.9866,282.45
Gandusari,SOSO,-8.0117,112.3275,770.92
Udanawu,SUKOREJO,-8.0123,112.0573,440.00
Wonodadi,JATEN,-8.0135,111.9627,162.17
Gandusari,NGARINGAN,-8.0157,112.3096,"1,274.50"
Udanawu,TUNJUNG,-8.0165,112.0062,385.18
Udanawu,MANGUNAN,-8.0167,112.0344,343.88
Gandusari,SLUMBUNG,-8.0193,112.3365,356.92
Udanawu,JATI,-8.0209,111.9862,275.30
Ponggok,KARANGBENDO,-8.0211,112.1522,940.00
Nglegok,NGORAN,-8.0238,112.1774,310.00
Udanawu,SUMBERSARI,-8.0245,112.0604,0.00
Garum,SIDODADI,-8.0254,112.2476,987.90
Udanawu,KARANGGONDANG,-8.0255,112.0343,353.43
Ponggok,KEBONDUREN,-8.0286,112.0889,"8,500.00"
Ponggok,PONGGOK,-8.0287,112.1121,"1,028.47"
Wonodadi,SALAM,-8.0291,111.9747,22.59
Wonodadi,KEBONAGUNG,-8.0303,112.0102,329.00
Garum,SLOROK,-8.0347,112.2628,570.23
Wonodadi,REJOSARI,-8.0349,111.9834,205.00
Ponggok,DADAPLANGU,-8.0355,112.0734,524.23
Nglegok,NGLEGOK,-8.0363,112.2054,"5,309.00"
Nglegok,KEMLOKO,-8.0371,112.189,327.32
Udanawu,RINGINANOM,-8.0375,112.0415,565.25
Wlingi,NGADIRENGGO,-8.0375,112.3433,"3,907.34"
Gandusari,SUKOSEWU,-8.0379,112.2874,796.96
Doko,RESAPOMBO,-8.0384,112.4203,"1,641.54"
Nglegok,DAYU,-8.0394,112.1714,336.90
Ponggok,MALIRAN,-8.0397,112.1325,878.00
Selorejo,AMPELGADING,-8.0398,112.4503,802.98
Ponggok,POJOK,-8.0429,112.1145,475.00
Gandusari,SUMBERAGUNG,-8.0437,112.2788,637.06
Nglegok,KRENCENG,-8.0456,112.1912,180.00
Gandusari,GANDUSARI,-8.0474,112.3041,216.63
Wonodadi,KALIBOTO,-8.0477,111.9842,148.54
Nglegok,BANGSRI,-8.0491,112.1748,423.00
Garum,TAWANGSARI,-8.0496,112.2194,456.50
Gandusari,BUTUN,-8.0512,112.3128,0.00
Sanankulon,GLEDUG,-8.0514,112.153,208.23
Srengat,DERMOJAYAN,-8.0523,112.0504,304.42
Ponggok,KAWEDUSAN,-8.0525,112.099,323.00
Gandusari,KOTES,-8.0534,112.2798,195.70
Nglegok,JIWUT,-8.0535,112.2021,409.00
Gandusari,TAMBAKAN,-8.0562,112.2956,182.33
Wonodadi,WONODADI,-8.0572,112.0001,480.83
Sanankulon,JEDING,-8.0592,112.1564,103.75
Wonodadi,PIKATAN,-8.0594,112.0225,595.53
Doko,PLUMBANGAN,-8.0603,112.3527,655.16
Garum,SUMBERDIREN,-8.0615,112.2138,110.25
Doko,SIDOREJO,-8.0616,112.3813,"1,045.00"
Wonodadi,KOLOMAYAN,-8.0631,112.0395,497.00
Wlingi,TEMBALANG,-8.0633,112.3366,130.53
Gandusari,GONDANG,-8.0634,112.2758,153.49
Srengat,BAGELENAN,-8.0636,112.0919,234.00
Wlingi,BABADAN,-8.0641,112.3188,523.25
Talun,JAJAR,-8.0647,112.2843,200.40
Garum,BENCE,-8.0666,112.2356,642.00
Srengat,SRENGAT,-8.0669,112.0738,511.00
Sanankulon,SUMBER,-8.067,112.1317,409.50
Sanankulon,SUMBERJO,-8.0672,112.1489,341.80
Ponggok,JATILENGGER,-8.0682,112.1143,427.25
Garum,POJOK,-8.0686,112.0,"1,058.00"
Srengat,DANDONG,-8.0721,112.08,14.08
Talun,KAWERON,-8.0725,112.2963,296.90
Doko,DOKO,-8.0755,112.3715,"48,499.00"
Srengat,KENDALREJO,-8.0762,112.0942,221.18
Kesamben,BUMIREJO,-8.0773,112.4179,583.11
Garum,GARUM,-8.0776,112.2103,370.70
Wlingi,BERU,-8.0785,112.3257,385.14
Srengat,KAUMAN,-8.079,112.0832,295.32
Srengat,KERJEN,-8.0808,112.0584,334.50
Wonodadi,GANDEKAN,-8.081,112.005,526.00
Selorejo,SIDOMULYO,-8.0828,112.4401,"8,878.00"
Sanankulon,KALIPUCUNG,-8.0831,112.1242,346.81
Wlingi,KLEMUNAN,-8.0874,112.3083,403.00
Srengat,WONOREJO,-8.0895,112.0718,261.45
Srengat,KANDANGAN,-8.0896,112.0928,326.00
Wonodadi,KUNIR,-8.09,112.0287,524.55
Garum,TINGAL,-8.0902,112.2251,280.00
Selorejo,NGRENDENG,-8.091,112.4272,609.16
Talun,TALUN,-8.0914,112.2696,403.00
Doko,GENENGAN,-8.0939,112.3613,355.25
Talun,BAJANG,-8.095,112.2911,405.45
Srengat,KARANGGAYAM,-8.0959,112.0455,479.30
Kesamben,TAPAKREJO,-8.0974,112.4056,404.00
Sanankulon,SANANKULON,-8.0978,112.1294,247.00
Kesamben,TEPAS,-8.0979,112.3849,702.40
Talun,PASIRHARJO,-8.0986,112.2535,286.08
Wlingi,WLINGI,-8.0997,112.3161,"3,500.00"
Kanigoro,PAPUNGAN,-8.0998,112.1952,"2,900.00"
Srengat,MARON,-8.0999,112.079,282.76
Srengat,NGAGLIK,-8.1018,112.1072,485.00
Doko,SLOROK,-8.1024,112.3489,476.05
Talun,WONOREJO,-8.1052,112.3133,341.90
Srengat,SELOKAJANG,-8.1069,112.0921,504.76
Kanigoro,BANGGLE,-8.1078,112.2114,586.19
Srengat,PURWOKERTO,-8.1082,112.0669,373.30
Selorejo,SUMBERAGUNG,-8.1099,112.4261,525.56
Sanankulon,BENDOSARI,-8.11,112.1164,170.20
Kanigoro,SAWENTAR,-8.1103,112.2272,869.15
Kanigoro,KUNINGAN,-8.1105,112.1816,274.00
Wlingi,TANGKIL,-8.1124,112.3261,381.64
Sanankulon,PURWOREJO,-8.1134,112.1316,502.91
Selorejo,BORO,-8.1147,112.4456,0.00
Talun,SRAGI,-8.1163,112.2921,142.00
Talun,DUREN,-8.1201,112.0,224.89
Selopuro,JAMBEWANGI,-8.1205,110.0,275.00
Talun,JEBLOG,-8.121,112.262,243.53
Kanigoro,GAPRANG,-8.1213,112.1844,208.25
Selopuro,JATITENGAH,-8.1242,112.2989,25.41
Sanankulon,TULISKRIYO,-8.1261,112.1373,170.40
Talun,BENDOSEWU,-8.1276,112.2658,499.12
Selorejo,OLAK ALEN,-8.1288,112.4324,"3,374.00"
Selopuro,POPOH,-8.1293,112.3399,411.00
Talun,TUMPANG,-8.1302,112.2431,403.00
Sanankulon,PLOSOARANG,-8.131,112.1486,145.00
Kesamben,KESAMBEN,-8.1357,112.3568,401.80
Kanigoro,MINGGIRSARI,-8.1371,112.1632,261.76
Selopuro,MRONJO,-8.1376,112.2771,429.98
Selopuro,PLOSO,-8.138,112.2931,4.62
Kademangan,JIMBE,-8.1381,112.1278,257.93
Talun,JABUNG,-8.1384,112.2593,288.70
Selorejo,NGRECO,-8.1385,112.4445,236.53
Selorejo,SELOREJO,-8.1387,112.4222,407.50
Kanigoro,KARANGSONO,-8.1408,112.1989,304.18
Kesamben,SIRAMAN,-8.1422,112.3361,"4,973.10"
Kanigoro,SATREYAN,-8.1425,112.221,5.30
Kesamben,PAGERGUNUNG,-8.1459,112.3758,559.50
Kademangan,KADEMANGAN,-8.1479,112.143,311.00
Kademangan,REJOWINANGUN,-8.1489,112.1537,160.75
Selopuro,TEGALREJO,-8.1495,112.3152,327.63
Kesamben,SUKOANYAR,-8.1503,112.4017,511.17
Selopuro,MANDESAN,-8.1514,112.2864,398.00
Selorejo,POHGAJIH,-8.1527,112.4242,350.10
Sutojayan,JEGU,-8.1574,112.23,830.00
Selopuro,SELOPURO,-8.1579,112.3014,757.69
Kademangan,DARUNGAN,-8.1585,112.1739,268.20
Kademangan,PLOSOREJO,-8.1592,112.1614,857.20
Kademangan,PLUMPUNGREJO,-8.1595,112.1257,409.38
Kesamben,JUGO,-8.1634,112.3452,914.00
Kademangan,SUMBERJO,-8.1719,112.1106,"89,519.00"
Kademangan,SUMBERJATI,-8.1725,112.1485,519.58
Binangun,TAWANGREJO,-8.1749,112.3437,222.19
Sutojayan,KEMBANGARUM,-8.1775,112.1989,543.00
Sutojayan,JINGGLONG,-8.1779,112.2295,442.00
Binangun,KEDUNGWUNGU,-8.1808,112.2979,605.60
Binangun,NGEMBUL,-8.1824,112.3328,440.03
Kademangan,DAWUHAN,-8.184,112.1337,"1,431.37"
Binangun,NGADRI,-8.1861,112.3655,466.70
Binangun,UMBULDAMAR,-8.189,112.3457,217.49
Sutojayan,KALIPANG,-8.1917,112.1795,0.00
Kademangan,SURUHWADANG,-8.1917,112.1085,659.81
Sutojayan,SUKOREJO,-8.1956,112.2255,"35,289.00"
Kademangan,MARON,-8.1964,112.0497,"1,122.00"
Panggungrejo,MARGOMULYO,-8.1994,112.2543,613.44
Kademangan,PANGGUNGDUWET,-8.2008,112.0329,737.45
Binangun,REJOSO,-8.2032,112.3308,450.00
Panggungrejo,BUMIAYU,-8.2097,112.2773,974.35
Binangun,SAMBIGEDE,-8.2097,112.3498,710.13
Sutojayan,KEDUNGBUNDER,-8.2116,112.169,286.21
Kademangan,KEBONSARI,-8.2133,112.0746,"1,232.05"
Sutojayan,PANDANARUM,-8.2136,112.148,369.00
Sutojayan,SUMBERJO,-8.2156,112.2146,187.82
Sutojayan,SUTOJAYAN,-8.2168,112.1889,369.00
Binangun,SUKORAME,-8.2186,112.3793,360.00
Binangun,BIROWO,-8.2194,112.3628,845.00
Binangun,SALAMREJO,-8.2225,112.3083,437.36
Panggungrejo,PANGGUNGASRI,-8.2258,112.2893,460.00
Binangun,BINANGUN,-8.2326,112.3339,962.00
Sutojayan,BACEM,-8.2352,112.2118,417.50
Bakung,NGREJO,-8.2413,112.0352,789.10
Bakung,PULEREJO,-8.2424,112.0371,980.12
Binangun,SUMBERKEMBAR,-8.2451,112.31,868.16
Bakung,KEDUNGBANTENG,-8.2489,112.087,998.13
Wonotirto,WONOTIRTO,-8.2499,112.1591,"1,200.00"
Bakung,LOREJO,-8.2501,112.1044,"1,065.63"
Wates,MOJOREJO,-8.2507,112.3546,776.00
Panggungrejo,SUMBERAGUNG,-8.2513,112.2891,646.50
Wates,SUMBERARUM,-8.2517,112.3368,280.96
Panggungrejo,PANGGUNGREJO,-8.252,112.2609,"18,075.00"
Panggungrejo,KALITENGAH,-8.2539,112.2259,"1,945.00"
Kanigoro,TLOGO,-8.2651,112.1997,330.02
Bakung,SUMBERDADI,-8.2655,112.0565,381.96
Wonotirto,PASIRAMAN,-8.266,112.1169,852.46
Wates,WATES,-8.2668,112.3723,721.34
Bakung,BAKUNG,-8.267,112.0687,42.47
Wonotirto,SUMBERBOTO,-8.2705,112.1429,933.00
Wonotirto,NGENI,-8.2732,112.202,40.39
Wates,PURWOREJO,-8.2737,112.3026,743.20
Bakung,TUMPAKOYOT,-8.28,112.0534,"1,401.72"
Wates,TULUNGREJO,-8.2886,112.308,902.08
Wonotirto,KALIGRENJENG,-8.2892,112.1259,806.32
Bakung,PLANDIREJO,-8.2898,112.0344,714.52
Wonotirto,GUNUNGGEDE,-8.2916,112.169,893.34
Bakung,TUMPAKKEPUH,-8.2922,112.1038,"1,256.00"
Panggungrejo,BALEREJO,-8.2925,112.2928,9.47
Wates,SUKOREJO,-8.2929,112.3526,634.04
Bakung,SIDOMULYO,-8.295,112.0889,703.17
Bakung,BULULAWANG,-8.2981,112.0685,115.04
Wates,RINGINREJO,-8.3045,112.3165,673.00
Panggungrejo,SERANG,-8.3065,112.2324,744.50
Panggungrejo,KALIGAMBIR,-8.3073,112.2682,"1,381.00"
Wonotirto,TAMBAKREJO,-8.3118,112.1477,"3,228.00"
Wates,TUGUREJO,-8.3141,112.3578,"1,788.39"
Wonotirto,NGADIPURO,-8.3163,112.1922,"1,859.66"
Panggungrejo,SUMBERSIH,-8.319,112.2525,"5,555.00"
